10.000	
m		kPa
0.00  0.00000
0.10  150.00000
0.20  150.00000
0.30  150.00000
0.40  150.00000
0.50  150.00000
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  150.00000
4.60  150.00000
4.70  150.00000
4.80  150.00000
4.90  150.00000
5.00  0.00000
15.000	
m		kPa
0.00  0.00000
0.10  112.50000
0.20  150.00000
0.30  150.00000
0.40  150.00000
0.50  150.00000
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  150.00000
4.60  150.00000
4.70  150.00000
4.80  150.00000
4.90  112.50000
5.00  0.00000
20.000	
m		kPa
0.00  0.00000
0.10  93.75000
0.20  140.62500
0.30  150.00000
0.40  150.00000
0.50  150.00000
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  150.00000
4.60  150.00000
4.70  150.00000
4.80  140.62500
4.90  93.75000
5.00  0.00000
25.000	
m		kPa
0.00  0.00000
0.10  82.03125
0.20  131.25000
0.30  147.65625
0.40  150.00000
0.50  150.00000
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  150.00000
4.60  150.00000
4.70  147.65625
4.80  131.25000
4.90  82.03125
5.00  0.00000
30.000	
m		kPa
0.00  0.00000
0.10  73.82812
0.20  123.04688
0.30  144.14062
0.40  149.41406
0.50  150.00000
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  150.00000
4.60  149.41406
4.70  144.14062
4.80  123.04688
4.90  73.82812
5.00  0.00000
35.000	
m		kPa
0.00  0.00000
0.10  67.67578
0.20  116.01562
0.30  140.18555
0.40  148.24219
0.50  149.85352
0.60  150.00000
0.70  150.00000
0.80  150.00000
0.90  150.00000
1.00  150.00000
1.10  150.00000
1.20  150.00000
1.30  150.00000
1.40  150.00000
1.50  150.00000
1.60  150.00000
1.70  150.00000
1.80  150.00000
1.90  150.00000
2.00  150.00000
2.10  150.00000
2.20  150.00000
2.30  150.00000
2.40  150.00000
2.50  150.00000
2.60  150.00000
2.70  150.00000
2.80  150.00000
2.90  150.00000
3.00  150.00000
3.10  150.00000
3.20  150.00000
3.30  150.00000
3.40  150.00000
3.50  150.00000
3.60  150.00000
3.70  150.00000
3.80  150.00000
3.90  150.00000
4.00  150.00000
4.10  150.00000
4.20  150.00000
4.30  150.00000
4.40  150.00000
4.50  149.85352
4.60  148.24219
4.70  140.18555
4.80  116.01562
4.90  67.67578
5.00  0.00000
40.000	
m		kPa
0.00  0.00000
0.10  62.84180
0.20  109.97314
0.30  136.15723
